x y z m s sqe
0 -0 9.97 33 9 3671
0 -0 9.97 33 9 3672
0 -0 9.97 33 9 3673
0 -0 9.97 33 9 3674
0 -0 9.97 33 9 3675
0.01 -0 9.97 33 9 3676
0.01 -0 9.97 33 9 3677
0.01 -0 9.97 33 9 3678
0.01 -0 9.97 33 9 3679
0.01 -0 9.97 33 9 3680
0.01 -0 9.97 33 9 3681
0.01 -0 9.97 33 9 3682
0.01 -0 9.97 33 9 3683
0 -0.01 9.97 33 9 3684
0 -0.01 9.97 33 9 3685
0 -0.01 9.97 33 9 3686
0 -0.01 9.97 33 9 3687
0 -0.01 9.97 33 9 3688
0 -0.01 9.97 33 9 3689
0 -0.01 9.97 33 9 3690
0 -0.01 9.97 33 9 3691
0 -0.01 9.97 33 9 3692
0 -0.01 9.97 33 9 3693
-0 -0.01 9.97 33 9 3694
-0 -0.01 9.97 33 9 3695
-0 -0.01 9.97 33 9 3696
-0 -0.01 9.97 33 10 3697
-0 -0.01 9.97 33 10 3698
-0 -0.01 9.97 33 10 3699
-0 -0.01 9.97 33 10 3700
-0.01 -0.01 9.97 33 10 3701
-0.01 -0.01 9.96 33 10 3702
-0.01 -0.01 9.96 33 10 3703
-0.01 -0.01 9.96 33 10 3704
-0.01 -0.01 9.96 33 10 3705
-0.01 -0.01 9.96 33 10 3706
-0.01 -0.01 9.96 33 10 3707
-0.02 -0 9.96 33 10 3708
-0.02 -0 9.96 33 10 3709
-0.02 -0 9.97 33 10 3710
-0.02 -0 9.97 33 10 3711
-0.02 -0 9.97 33 10 3712
-0.02 -0 9.97 33 10 3713
-0.02 -0 9.97 33 10 3714
-0.02 -0 9.97 33 10 3715
-0.03 -0 9.97 33 10 3716
-0.03 -0 9.97 33 10 3717
-0.03 -0 9.97 33 10 3718
-0.03 -0 9.97 33 10 3719
-0.03 -0 9.97 33 10 3720
-0.03 -0 9.97 33 10 3721
-0.03 -0 9.97 33 10 3722
-0.03 -0 9.97 33 10 3723
-0.03 -0 9.97 33 10 3724
-0.03 -0 9.97 33 10 3725
-0.03 -0 9.97 33 10 3726
-0.03 0 9.97 33 11 3727
-0.03 0 9.97 33 11 3728
-0.03 0 9.97 33 11 3729
-0.03 0 9.97 33 11 3730
-0.03 0 9.97 33 11 3731
-0.04 0 9.97 33 11 3732
-0.04 0 9.97 33 11 3733
-0.04 0 9.97 33 11 3734
-0.04 0 9.97 33 11 3735
-0.04 0 9.97 33 11 3736
-0.04 0 9.97 33 11 3737
-0.04 0 9.97 33 11 3738
-0.03 0 9.97 33 11 3739
-0.03 0 9.97 33 11 3740
-0.03 0 9.97 33 11 3741
-0.03 0 9.97 33 11 3742
-0.03 0 9.97 33 11 3743
-0.03 0 9.97 33 11 3744
-0.03 0 9.97 33 11 3745
-0.03 0 9.97 33 11 3746
-0.03 0 9.97 33 11 3747
-0.03 0.01 9.97 33 11 3748
-0.03 0.01 9.97 33 11 3749
-0.02 0.01 9.97 33 11 3750
-0.02 0.01 9.97 33 11 3751
-0.02 0.01 9.97 33 11 3752
-0.02 0.01 9.97 33 11 3753
-0.02 0 9.97 33 11 3754
-0.02 0 9.97 33 11 3755
-0.02 0.01 9.97 33 11 3756
-0.01 0.01 9.97 33 12 3757
-0.01 0.01 9.97 33 12 3758
-0.01 0.01 9.97 33 12 3759
-0.01 0.01 9.97 33 12 3760
-0.01 0.01 9.97 33 12 3761
-0.01 0.01 9.97 33 12 3762
-0.01 0.01 9.97 33 12 3763
-0 0.01 9.96 33 12 3764
-0 0.01 9.96 33 12 3765
-0 0.01 9.96 33 12 3766
-0 0.01 9.96 33 12 3767
-0 0.01 9.96 33 12 3768
0 0.01 9.96 33 12 3769
0 0.01 9.96 33 12 3770
0 0.01 9.96 33 12 3771
0 0.01 9.96 33 12 3772
0 0.01 9.96 33 12 3773
0 0.01 9.96 33 12 3774
0 0.01 9.96 33 12 3775
0 0.01 9.96 33 12 3776
0 0.01 9.96 33 12 3777
0 0.01 9.96 33 12 3778
0 0.01 9.96 33 12 3779
0 0.01 9.96 33 12 3780
0 0.01 9.97 33 12 3781
0 0.01 9.97 33 12 3782
0 0.01 9.97 33 12 3783
0 0.01 9.97 33 12 3784
0 0.01 9.97 33 12 3785
0 0.01 9.97 33 12 3786
-0 0.01 9.97 33 13 3787
-0 0.01 9.97 33 13 3788
-0 0.01 9.97 33 13 3789
-0 0.01 9.97 33 13 3790
-0 0.01 9.97 33 13 3791
-0 0.01 9.97 33 13 3792
-0 0.01 9.97 33 13 3793
-0 0.01 9.98 33 13 3794
-0 0.01 9.98 33 13 3795
-0.01 0.01 9.98 33 13 3796
-0.01 0.01 9.98 33 13 3797
-0.01 0.01 9.98 33 13 3798
-0.01 0.01 9.97 33 13 3799
-0.01 0.01 9.97 33 13 3800
-0.01 0.01 9.97 33 13 3801
-0.01 0.01 9.97 33 13 3802
-0.01 0.01 9.97 33 13 3803
-0.01 0.01 9.97 33 13 3804
-0.01 0.01 9.97 33 13 3805
-0.01 0.01 9.97 33 13 3806
-0.01 0.01 9.97 33 13 3807
-0.01 0.01 9.97 33 13 3808
-0.01 0.01 9.97 33 13 3809
-0.01 0.01 9.97 33 13 3810
-0.01 0.01 9.97 33 13 3811
-0.01 0.01 9.97 33 13 3812
-0.01 0.01 9.97 33 13 3813
-0.01 0.01 9.97 33 13 3814
-0.01 0.01 9.97 33 13 3815
-0.01 0.01 9.97 33 13 3816
-0.01 0.01 9.97 33 14 3817
