x y z m s sqe
0 0 10 33 9 12179
0 0 10 33 9 12180
0 0 10 33 9 12181
0 0 10 33 9 12182
0 0 10 33 9 12183
0 0 10 33 9 12184
0 0 10 33 9 12185
0 0 10 33 9 12186
0 0 10 33 9 12187
0 0 10 33 9 12188
0 0 10 33 9 12189
0 0 10 33 9 12190
0 0 10 33 9 12191
0 0 10 33 9 12192
0 0 10 33 9 12193
0 0 10 33 9 12194
0 0 10 33 9 12195
0 0 10 33 9 12196
0 0 10 33 9 12197
0 0 10 33 9 12198
0 0 10 33 9 12199
0 0 10 33 9 12200
0 0 10 33 9 12201
0 0 10 33 9 12202
0 0 10 33 9 12203
0 0 10 33 9 12204
0 0 10 33 9 12205
0 0 10 33 9 12206
0 0 10 33 9 12207
0 0 10 33 9 12208
0 0 10 33 9 12209
0 0 10 33 9 12210
0 0 10 33 9 12211
0 0 10 33 9 12212
0 0 10 33 9 12213
0 0 10 33 9 12214
0 0 10 33 9 12215
0 0 10 33 9 12216
0 0 10 33 9 12217
0 0 10 33 9 12218
0 0 10 33 9 12219
0 0 10 33 9 12220
0 0 10 33 9 12221
0 0 10 33 9 12222
0 0 10 33 9 12223
0 0 10 33 9 12224
0 0 10 33 9 12225
0 0 10 33 9 12226
0 0 10 33 9 12227
0 0 10 33 9 12228
0 0 10 33 9 12229
0 0 10 33 9 12230
0 0 10 33 9 12231
0 0 10 33 9 12232
0 0 10 33 9 12233
0 0 10 33 9 12234
0 0 10 33 9 12235
0 0 10 33 9 12236
0 0 10 33 9 12237
0 0 10 33 9 12238
0 0 10 33 9 12239
0 0 10 33 9 12240
0 0 10 33 9 12241
0 0 10 33 9 12242
0 0 10 33 9 12243
0 0 10 33 9 12244
0 0 10 33 9 12245
0 0 10 33 9 12246
0 0 10 33 9 12247
0 0 10 33 9 12248
0 0 10 33 9 12249
0 0 10 33 9 12250
0 0 10 33 9 12251
0 0 10 33 9 12252
0 0 10 33 9 12253
0 0 10 33 9 12254
0 0 10 33 9 12255
0 0 10 33 9 12256
0 0 10 33 9 12257
0 0 10 33 9 12258
0 0 10 33 9 12259
0 0 10 33 9 12260
0 0 10 33 9 12261
0 0 10 33 9 12262
0 0 10 33 9 12263
0 0 10 33 9 12264
0 0 10 33 9 12265
0 0 10 33 9 12266
0 0 10 33 10 12267
0 0 10 33 10 12268
0 0 10 33 10 12269
0 0 10 33 10 12270
0 0 10 33 10 12271
0 0 10 33 10 12272
0 0 10 33 10 12273
0 0 10 33 10 12274
0 0 10 33 10 12275
0 0 10 33 10 12276
0 0 10 33 10 12277
0 0 10 33 10 12278
0 0 10 33 10 12279
0 0 10 33 10 12280
0 0 10 33 10 12281
0 0 10 33 10 12282
0 0 10 33 10 12283
0 0 10 33 10 12284
0 0 10 33 10 12285
0 0 10 33 10 12286
0 0 10 33 10 12287
0 0 10 33 10 12288
0 0 10 33 10 12289
0 0 10 33 10 12290
0 0 10 33 10 12291
0 0 10 33 10 12292
0 0 10 33 10 12293
0 0 10 33 10 12294
0 0 10 33 10 12295
0 0 10 33 10 12296
0 0 10 33 10 12297
0 0 10 33 10 12298
0 0 10 33 10 12299
0 0 10 33 10 12300
0 0 10 33 10 12301
0 0 10 33 10 12302
0 0 10 33 10 12303
0 0 10 33 10 12304
0 0 10 33 10 12305
0 0 10 33 10 12306
0 0 10 33 10 12307
0 0 10 33 10 12308
0 0 10 33 10 12309
0 0 10 33 10 12310
0 0 10 33 10 12311
0 0 10 33 10 12312
0 0 10 33 10 12313
0 0 10 33 10 12314
0 0 10 33 10 12315
0 0 10 33 10 12316
0 0 10 33 10 12317
0 0 10 33 10 12318
0 0 10 33 10 12319
0 0 10 33 10 12320
0 0 10 33 10 12321
0 0 10 33 10 12322
0 0 10 33 10 12323
0 0 10 33 10 12324
0 0 10 33 10 12325
0 0 10 33 10 12326
0 0 10 33 10 12327
0 0 10 33 10 12328
0 0 10 33 10 12329
0 0 10 33 10 12330
0 0 10 33 10 12331
0 0 10 33 10 12332
0 0 10 33 10 12333
0 0 10 33 10 12334
0 0 10 33 10 12335
0 0 10 33 10 12336
0 0 10 33 10 12337
0 0 10 33 10 12338
0 0 10 33 10 12339
0 0 10 33 10 12340
0 0 10 33 10 12341
0 0 10 33 10 12342
0 0 10 33 10 12343
0 0 10 33 10 12344
0 0 10 33 10 12345
0 0 10 33 10 12346
0 0 10 33 10 12347
0 0 10 33 10 12348
0 0 10 33 10 12349
0 0 10 33 10 12350
0 0 10 33 10 12351
0 0 10 33 10 12352
0 0 10 33 10 12353
0 0 10 33 10 12354
0 0 10 33 10 12355
0 0 10 33 10 12356
0 0 10 33 10 12357
0 0 10 33 10 12358
0 0 10 33 10 12359
0 0 10 33 10 12360
0 0 10 33 10 12361
0 0 10 33 10 12362
0 0 10 33 10 12363
0 0 10 33 10 12364
0 0 10 33 10 12365
0 0 10 33 10 12366
0 0 10 33 11 12367
0 0 10 33 11 12368
0 0 10 33 11 12369
0 0 10 33 11 12370
0 0 10 33 11 12371
0 0 10 33 11 12372
0 0 10 33 11 12373
0 0 10 33 11 12374
0 0 10 33 11 12375
0 0 10 33 11 12376
0 0 10 33 11 12377
0 0 10 33 11 12378
0 0 10 33 11 12379
0 0 10 33 11 12380
0 0 10 33 11 12381
0 0 10 33 11 12382
0 0 10 33 11 12383
0 0 10 33 11 12384
0 0 10 33 11 12385
0 0 10 33 11 12386
0 0 10 33 11 12387
0 0 10 33 11 12388
0 0 10 33 11 12389
0 0 10 33 11 12390
0 0 10 33 11 12391
0 0 10 33 11 12392
0 0 10 33 11 12393
0 0 10 33 11 12394
0 0 10 33 11 12395
0 0 10 33 11 12396
0 0 10 33 11 12397
0 0 10 33 11 12398
0 0 10 33 11 12399
0 0 10 33 11 12400
0 0 10 33 11 12401
0 0 10 33 11 12402
0 0 10 33 11 12403
0 0 10 33 11 12404
0 0 10 33 11 12405
0 0 10 33 11 12406
0 0 10 33 11 12407
0 0 10 33 11 12408
0 0 10 33 11 12409
0 0 10 33 11 12410
0 0 10 33 11 12411
0 0 10 33 11 12412
0 0 10 33 11 12413
0 0 10 33 11 12414
0 0 10 33 11 12415
0 0 10 33 11 12416
0 0 10 33 11 12417
0 0 10 33 11 12418
0 0 10 33 11 12419
0 0 10 33 11 12420
0 0 10 33 11 12421
0 0 10 33 11 12422
0 0 10 33 11 12423
0 0 10 33 11 12424
0 0 10 33 11 12425
0 0 10 33 11 12426
0 0 10 33 11 12427
0 0 10 33 11 12428
0 0 10 33 11 12429
0 0 10 33 11 12430
0 0 10 33 11 12431
0 0 10 33 11 12432
0 0 10 33 11 12433
0 0 10 33 11 12434
0 0 10 33 11 12435
0 0 10 33 11 12436
0 0 10 33 11 12437
0 0 10 33 11 12438
0 0 10 33 11 12439
0 0 10 33 11 12440
0 0 10 33 11 12441
0 0 10 33 11 12442
0 0 10 33 11 12443
0 0 10 33 11 12444
0 0 10 33 11 12445
0 0 10 33 11 12446
0 0 10 33 11 12447
0 0 10 33 11 12448
0 0 10 33 11 12449
0 0 10 33 11 12450
0 0 10 33 11 12451
0 0 10 33 11 12452
0 0 10 33 11 12453
0 0 10 33 11 12454
0 0 10 33 11 12455
0 0 10 33 11 12456
0 0 10 33 11 12457
0 0 10 33 11 12458
0 0 10 33 11 12459
0 0 10 33 11 12460
0 0 10 33 11 12461
0 0 10 33 11 12462
0 0 10 33 11 12463
0 0 10 33 11 12464
0 0 10 33 11 12465
0 0 10 33 11 12466
0 0 10 33 12 12467
0 0 10 33 12 12468
0 0 10 33 12 12469
0 0 10 33 12 12470
0 0 10 33 12 12471
0 0 10 33 12 12472
0 0 10 33 12 12473
0 0 10 33 12 12474
0 0 10 33 12 12475
0 0 10 33 12 12476
0 0 10 33 12 12477
0 0 10 33 12 12478
0 0 10 33 12 12479
0 0 10 33 12 12480
0 0 10 33 12 12481
0 0 10 33 12 12482
0 0 10 33 12 12483
0 0 10 33 12 12484
0 0 10 33 12 12485
0 0 10 33 12 12486
0 0 10 33 12 12487
0 0 10 33 12 12488
0 0 10 33 12 12489
0 0 10 33 12 12490
0 0 10 33 12 12491
0 0 10 33 12 12492
0 0 10 33 12 12493
0 0 10 33 12 12494
0 0 10 33 12 12495
0 0 10 33 12 12496
0 0 10 33 12 12497
0 0 10 33 12 12498
0 0 10 33 12 12499
0 0 10 33 12 12500
0 0 10 33 12 12501
0 0 10 33 12 12502
0 0 10 33 12 12503
0 0 10 33 12 12504
0 0 10 33 12 12505
0 0 10 33 12 12506
0 0 10 33 12 12507
0 0 10 33 12 12508
0 0 10 33 12 12509
0 0 10 33 12 12510
0 0 10 33 12 12511
0 0 10 33 12 12512
0 0 10 33 12 12513
0 0 10 33 12 12514
0 0 10 33 12 12515
0 0 10 33 12 12516
0 0 10 33 12 12517
0 0 10 33 12 12518
0 0 10 33 12 12519
0 0 10 33 12 12520
0 0 10 33 12 12521
0 0 10 33 12 12522
0 0 10 33 12 12523
0 0 10 33 12 12524
0 0 10 33 12 12525
0 0 10 33 12 12526
0 0 10 33 12 12527
0 0 10 33 12 12528
0 0 10 33 12 12529
0 0 10 33 12 12530
0 0 10 33 12 12531
0 0 10 33 12 12532
0 0 10 33 12 12533
0 0 10 33 12 12534
0 0 10 33 12 12535
0 0 10 33 12 12536
0 0 10 33 12 12537
0 0 10 33 12 12538
0 0 10 33 12 12539
0 0 10 33 12 12540
0 0 10 33 12 12541
0 0 10 33 12 12542
0 0 10 33 12 12543
0 0 10 33 12 12544
0 0 10 33 12 12545
0 0 10 33 12 12546
0 0 10 33 12 12547
0 0 10 33 12 12548
0 0 10 33 12 12549
0 0 10 33 12 12550
0 0 10 33 12 12551
0 0 10 33 12 12552
0 0 10 33 12 12553
0 0 10 33 12 12554
0 0 10 33 12 12555
0 0 10 33 12 12556
0 0 10 33 12 12557
0 0 10 33 12 12558
0 0 10 33 12 12559
0 0 10 33 12 12560
0 0 10 33 12 12561
0 0 10 33 12 12562
0 0 10 33 12 12563
0 0 10 33 12 12564
0 0 10 33 12 12565
0 0 10 33 12 12566
0 0 10 33 13 12567
0 0 10 33 13 12568
0 0 10 33 13 12569
0 0 10 33 13 12570
0 0 10 33 13 12571
0 0 10 33 13 12572
0 0 10 33 13 12573
0 0 10 33 13 12574
0 0 10 33 13 12575
0 0 10 33 13 12576
0 0 10 33 13 12577
0 0 10 33 13 12578
0 0 10 33 13 12579
0 0 10 33 13 12580
0 0 10 33 13 12581
0 0 10 33 13 12582
0 0 10 33 13 12583
0 0 10 33 13 12584
0 0 10 33 13 12585
0 0 10 33 13 12586
0 0 10 33 13 12587
0 0 10 33 13 12588
0 0 10 33 13 12589
0 0 10 33 13 12590
0 0 10 33 13 12591
0 0 10 33 13 12592
0 0 10 33 13 12593
0 0 10 33 13 12594
0 0 10 33 13 12595
0 0 10 33 13 12596
0 0 10 33 13 12597
0 0 10 33 13 12598
0 0 10 33 13 12599
0 0 10 33 13 12600
0 0 10 33 13 12601
0 0 10 33 13 12602
0 0 10 33 13 12603
0 0 10 33 13 12604
0 0 10 33 13 12605
0 0 10 33 13 12606
0 0 10 33 13 12607
0 0 10 33 13 12608
0 0 10 33 13 12609
0 0 10 33 13 12610
0 0 10 33 13 12611
0 0 10 33 13 12612
0 0 10 33 13 12613
0 0 10 33 13 12614
0 0 10 33 13 12615
0 0 10 33 13 12616
0 0 10 33 13 12617
0 0 10 33 13 12618
0 0 10 33 13 12619
0 0 10 33 13 12620
0 0 10 33 13 12621
0 0 10 33 13 12622
0 0 10 33 13 12623
0 0 10 33 13 12624
0 0 10 33 13 12625
0 0 10 33 13 12626
0 0 10 33 13 12627
0 0 10 33 13 12628
0 0 10 33 13 12629
0 0 10 33 13 12630
0 0 10 33 13 12631
0 0 10 33 13 12632
0 0 10 33 13 12633
0 0 10 33 13 12634
0 0 10 33 13 12635
0 0 10 33 13 12636
0 0 10 33 13 12637
0 0 10 33 13 12638
0 0 10 33 13 12639
0 0 10 33 13 12640
0 0 10 33 13 12641
0 0 10 33 13 12642
0 0 10 33 13 12643
0 0 10 33 13 12644
0 0 10 33 13 12645
0 0 10 33 13 12646
0 0 10 33 13 12647
0 0 10 33 13 12648
0 0 10 33 13 12649
0 0 10 33 13 12650
0 0 10 33 13 12651
0 0 10 33 13 12652
0 0 10 33 13 12653
0 0 10 33 13 12654
0 0 10 33 13 12655
0 0 10 33 13 12656
0 0 10 33 13 12657
0 0 10 33 13 12658
0 0 10 33 13 12659
0 0 10 33 13 12660
0 0 10 33 13 12661
0 0 10 33 13 12662
0 0 10 33 13 12663
0 0 10 33 13 12664
0 0 10 33 13 12665
0 0 10 33 13 12666
0 0 10 33 14 12667
0 0 10 33 14 12668
0 0 10 33 14 12669
0 0 10 33 14 12670
0 0 10 33 14 12671
0 0 10 33 14 12672
0 0 10 33 14 12673
0 0 10 33 14 12674
0 0 10 33 14 12675
0 0 10 33 14 12676
0 0 10 33 14 12677
0 0 10 33 14 12678
-0.01 0.01 9.97 33 14 12679
-0.01 0.01 9.97 33 14 12680
-0.01 0.01 9.97 33 14 12681
-0.01 0.01 9.97 33 14 12682
-0.01 0.01 9.97 33 14 12683
-0.01 0.01 9.97 33 14 12684
-0.01 0.01 9.97 33 14 12685
-0.01 0.01 9.97 33 14 12686
-0.01 0 9.97 33 14 12687
-0.01 0 9.97 33 14 12688
-0.01 0 9.97 33 14 12689
-0.01 0 9.97 33 14 12690
-0.01 0 9.97 33 14 12691
-0 0 9.97 33 14 12692
-0 0 9.97 33 14 12693
-0 0 9.97 33 14 12694
-0 0 9.98 33 14 12695
-0 0 9.98 33 14 12696
0 0 9.98 33 14 12697
0 0 9.98 33 14 12698
0 0 9.98 33 14 12699
0 0 9.98 33 14 12700
0.01 0 9.98 33 14 12701
0.01 0 9.98 33 14 12702
0.01 -0 9.98 33 14 12704
0.01 -0 9.98 33 14 12705
0.01 -0 9.98 33 14 12706
0.01 -0 9.98 33 14 12707
0.02 -0 9.98 33 14 12708
0.02 -0 9.98 33 14 12709
0.02 -0 9.98 33 14 12710
0.02 -0 9.98 33 14 12711
0.02 -0 9.98 33 14 12712
0.03 -0 9.98 33 14 12713
0.03 -0 9.98 33 14 12714
0.03 -0 9.98 33 14 12715
0.03 -0 9.98 33 14 12716
0.03 -0 9.98 33 14 12717
0.03 -0 9.98 33 14 12718
0.04 -0 9.98 33 14 12719
0.04 -0 9.98 33 14 12720
0.04 -0 9.98 33 14 12721
0.04 -0 9.98 33 14 12722
0.05 -0 9.98 33 14 12723
0.05 -0 9.98 33 14 12724
0.05 -0 9.98 33 14 12725
0.05 -0 9.98 33 14 12726
0.05 -0 9.98 33 14 12727
0.05 -0 9.98 33 14 12728
0.06 -0 9.98 33 14 12729
0.06 -0 9.98 33 14 12730
0.06 -0 9.98 33 14 12731
0.07 -0.01 9.98 33 14 12732
0.07 -0.01 9.98 33 14 12733
0.07 -0.01 9.98 33 14 12734
0.07 -0.01 9.98 33 14 12735
0.07 -0.01 9.98 33 14 12736
0.08 -0.01 9.98 33 14 12737
0.08 -0.01 9.98 33 14 12738
0.08 -0.01 9.98 33 14 12739
0.08 -0.01 9.98 33 14 12740
0.09 -0.01 9.98 33 14 12741
0.09 -0.01 9.98 33 14 12742
0.09 -0.01 9.98 33 14 12743
0.09 -0.01 9.98 33 14 12744
0.1 -0.01 9.98 33 14 12745
0.1 -0.01 9.98 33 14 12746
0.1 -0.01 9.98 33 14 12747
0.1 -0.01 9.98 33 14 12748
0.11 -0.01 9.98 33 14 12749
0.11 -0.01 9.98 33 14 12750
0.11 -0.01 9.98 33 14 12751
0.11 -0.01 9.98 33 14 12752
0.12 -0.01 9.98 33 14 12753
0.12 -0.01 9.98 33 14 12754
0.12 -0.01 9.98 33 14 12755
0.13 -0.01 9.98 33 14 12756
0.13 -0.01 9.98 33 14 12757
0.13 -0.01 9.98 33 14 12758
0.13 -0.01 9.98 33 14 12759
0.13 -0.01 9.98 33 14 12760
0.14 -0.01 9.98 33 14 12761
0.14 -0.01 9.98 33 14 12762
0.14 -0.01 9.98 33 14 12763
0.14 -0.01 9.98 33 14 12764
0.15 -0.01 9.98 33 14 12765
0.15 -0.01 9.98 33 14 12766
0.15 -0.01 9.98 33 15 12767
0.16 -0.01 9.98 33 15 12768
0.16 -0.01 9.98 33 15 12769
0.16 -0.01 9.98 33 15 12770
0.16 -0.01 9.98 33 15 12771
0.16 -0.01 9.98 33 15 12772
0.17 -0.01 9.98 33 15 12773
0.17 -0.01 9.98 33 15 12774
0.18 -0.01 9.98 33 15 12775
0.18 -0.01 9.98 33 15 12776
0.18 -0.01 9.98 33 15 12777
0.18 -0.01 9.98 33 15 12778
0.19 -0.01 9.98 33 15 12779
0.19 -0.01 9.98 33 15 12780
0.19 -0.01 9.98 33 15 12781
0.19 -0.01 9.98 33 15 12782
0.2 -0.01 9.98 33 15 12783
0.2 -0.01 9.98 33 15 12784
0.2 -0.01 9.98 33 15 12785
0.2 -0.01 9.98 33 15 12786
0.21 -0.01 9.98 33 15 12787
0.21 -0.01 9.98 33 15 12788
0.21 -0.01 9.98 33 15 12789
0.21 -0.01 9.98 33 15 12790
0.22 -0.01 9.98 33 15 12791
0.22 -0.01 9.98 33 15 12792
0.22 -0.01 9.98 33 15 12793
0.22 -0.01 9.98 33 15 12794
0.23 -0.01 9.98 33 15 12795
0.23 -0.01 9.98 33 15 12796
0.23 -0.01 9.98 33 15 12797
0.23 -0.01 9.98 33 15 12798
0.24 -0.01 9.98 33 15 12799
0.24 -0.01 9.98 33 15 12800
0.24 -0.01 9.98 33 15 12801
0.24 -0.01 9.98 33 15 12802
0.25 -0.01 9.98 33 15 12803
0.25 -0.01 9.98 33 15 12804
0.25 -0.01 9.98 33 15 12805
0.25 -0.01 9.98 33 15 12806
0.26 -0.01 9.98 33 15 12807
0.26 -0.01 9.98 33 15 12808
0.26 -0.01 9.98 33 15 12809
0.26 -0.01 9.98 33 15 12810
0.27 -0.01 9.98 33 15 12811
0.27 -0.01 9.98 33 15 12812
0.27 -0.01 9.98 33 15 12813
0.27 -0.01 9.98 33 15 12814
0.28 -0.01 9.98 33 15 12815
0.28 -0.01 9.98 33 15 12816
0.28 -0.01 9.98 33 15 12817
0.28 -0.01 9.98 33 15 12818
0.28 -0.01 9.98 33 15 12819
0.28 -0.01 9.98 33 15 12820
0.29 -0.01 9.98 33 15 12821
0.29 -0.01 9.98 33 15 12822
0.29 -0.01 9.98 33 15 12823
0.3 -0.01 9.98 33 15 12824
0.3 -0.01 9.98 33 15 12825
0.3 -0.01 9.98 33 15 12826
0.3 -0.01 9.98 33 15 12827
0.3 -0.01 9.98 33 15 12828
0.31 -0.01 9.98 33 15 12829
0.31 -0.01 9.98 33 15 12830
0.31 -0.01 9.98 33 15 12831
0.31 -0.01 9.98 33 15 12832
0.32 -0.01 9.98 33 15 12833
0.32 -0.01 9.98 33 15 12834
0.32 -0.01 9.98 33 15 12835
0.32 -0.01 9.98 33 15 12836
0.32 -0.01 9.98 33 15 12837
0.32 -0.01 9.98 33 15 12838
0.33 -0.01 9.98 33 15 12839
0.33 -0.01 9.98 33 15 12840
0.33 -0.01 9.98 33 15 12841
0.33 -0.01 9.98 33 15 12842
0.34 -0.01 9.98 33 15 12843
0.34 -0.01 9.98 33 15 12844
0.34 -0.01 9.98 33 15 12845
0.34 -0.01 9.98 33 15 12846
0.34 -0.01 9.98 33 15 12847
0.34 -0.01 9.98 33 15 12848
0.35 -0.01 9.98 33 15 12849
0.35 -0.01 9.98 33 15 12850
0.35 -0.01 9.98 33 15 12851
0.35 -0.01 9.98 33 15 12852
0.36 -0.01 9.98 33 15 12853
0.36 -0.01 9.98 33 15 12854
0.36 -0.01 9.98 33 15 12855
0.36 -0.01 9.98 33 15 12856
0.36 -0.01 9.98 33 15 12857
0.36 -0.01 9.98 33 15 12858
0.37 -0.01 9.98 33 15 12859
0.37 -0.01 9.98 33 15 12860
0.37 -0.01 9.98 33 15 12861
0.37 -0.01 9.98 33 15 12862
0.38 -0.01 9.98 33 15 12863
0.38 -0.01 9.98 33 15 12864
0.38 -0.01 9.98 33 15 12865
0.38 -0.01 9.98 33 15 12866
0.38 -0.01 9.97 33 16 12867
0.38 -0.01 9.97 33 16 12868
0.39 -0.01 9.97 33 16 12869
0.39 -0.01 9.97 33 16 12870
0.39 -0.01 9.97 33 16 12871
0.39 -0.01 9.97 33 16 12872
0.39 -0.01 9.97 33 16 12873
0.4 -0.01 9.97 33 16 12874
0.4 -0.01 9.97 33 16 12875
0.4 -0.01 9.97 33 16 12876
0.4 -0.01 9.97 33 16 12877
0.4 -0.01 9.97 33 16 12878
0.4 -0.01 9.97 33 16 12879
0.4 -0.01 9.97 33 16 12880
0.41 -0.01 9.97 33 16 12881
0.41 -0.01 9.97 33 16 12882
0.41 -0.01 9.97 33 16 12883
0.41 -0.01 9.97 33 16 12884
0.41 -0.01 9.97 33 16 12885
0.42 -0.01 9.97 33 16 12886
0.42 -0.01 9.97 33 16 12887
0.42 -0.01 9.97 33 16 12888
0.42 -0.01 9.97 33 16 12889
0.42 -0.01 9.97 33 16 12890
0.42 -0.01 9.97 33 16 12891
0.43 -0.01 9.97 33 16 12892
0.43 -0.01 9.97 33 16 12893
0.43 -0.01 9.97 33 16 12894
0.43 -0.01 9.97 33 16 12895
0.43 -0.01 9.97 33 16 12896
0.43 -0.01 9.97 33 16 12897
0.43 -0.01 9.97 33 16 12898
0.44 -0.01 9.97 33 16 12899
0.44 -0.01 9.97 33 16 12900
0.44 -0.01 9.97 33 16 12901
0.44 -0.01 9.97 33 16 12902
0.44 -0.01 9.97 33 16 12903
0.44 -0.01 9.98 33 16 12904
0.45 -0.01 9.98 33 16 12905
0.45 -0.01 9.98 33 16 12906
0.45 -0.01 9.98 33 16 12907
0.45 -0.01 9.98 33 16 12908
0.45 -0.01 9.98 33 16 12909
0.45 -0.01 9.98 33 16 12910
0.45 -0.01 9.98 33 16 12911
0.45 -0.01 9.98 33 16 12912
0.46 -0.01 9.98 33 16 12913
0.46 -0.01 9.98 33 16 12914
0.46 -0.01 9.98 33 16 12915
0.46 -0.01 9.98 33 16 12916
0.46 -0.01 9.98 33 16 12917
0.46 -0.01 9.98 33 16 12918
0.47 -0.01 9.98 33 16 12919
0.47 -0.01 9.98 33 16 12920
0.47 -0.01 9.98 33 16 12921
0.47 -0.01 9.98 33 16 12922
0.47 -0.01 9.98 33 16 12923
0.47 -0.01 9.98 33 16 12924
0.48 -0.01 9.98 33 16 12925
0.48 -0.01 9.98 33 16 12926
0.48 -0.01 9.98 33 16 12927
0.48 -0.01 9.98 33 16 12928
0.48 -0.01 9.98 33 16 12929
0.48 -0.01 9.98 33 16 12930
0.48 -0.01 9.98 33 16 12931
0.48 -0.01 9.98 33 16 12932
0.49 -0.01 9.98 33 16 12933
0.49 -0.01 9.98 33 16 12934
0.49 -0.01 9.98 33 16 12935
0.49 -0.01 9.98 33 16 12936
0.49 -0.01 9.98 33 16 12937
0.49 -0.01 9.98 33 16 12938
0.5 -0.02 9.98 33 16 12939
0.5 -0.02 9.98 33 16 12940
0.5 -0.02 9.98 33 16 12941
0.5 -0.02 9.98 33 16 12942
0.5 -0.02 9.98 33 16 12943
0.5 -0.02 9.98 33 16 12944
0.5 -0.02 9.98 33 16 12945
0.5 -0.02 9.98 33 16 12946
0.51 -0.02 9.98 33 16 12947
0.51 -0.02 9.98 33 16 12948
0.51 -0.02 9.98 33 16 12949
0.51 -0.02 9.98 33 16 12950
0.51 -0.02 9.98 33 16 12951
0.51 -0.02 9.98 33 16 12952
0.52 -0.02 9.98 33 16 12953
0.52 -0.02 9.98 33 16 12954
0.52 -0.02 9.98 33 16 12955
0.52 -0.02 9.98 33 16 12956
0.52 -0.02 9.98 33 16 12957
0.52 -0.02 9.98 33 16 12958
0.52 -0.02 9.98 33 16 12959
0.52 -0.02 9.98 33 16 12960
0.53 -0.02 9.98 33 16 12961
0.53 -0.02 9.98 33 16 12962
0.53 -0.02 9.98 33 16 12963
0.53 -0.02 9.98 33 16 12964
0.53 -0.02 9.98 33 16 12965
0.53 -0.02 9.98 33 16 12966
0.54 -0.02 9.98 33 17 12967
0.54 -0.02 9.98 33 17 12968
0.54 -0.02 9.98 33 17 12969
0.54 -0.02 9.98 33 17 12970
